fips,Total,Construction,Construction_pct,Educational_and_Health,Educational_and_Health_pct,Financial_Activities,Financial_Activities_pct,Information,Information_pct,Leisure_Hospitality,Leisure_Hospitality_pct,Manufacturing,Manufacturing_pct,Natural_Resources,Natural_Resources_pct,Other,Other_pct,Professional_Business_Services,Professional_Business_Services_pct,Public_Administration,Public_Administration_pct,Trade_Transport_Utilities,Trade_Transport_Utilities_pct,Unclassified,Unclassified_pct,Largest
01000,1608569,93494.0,0.058122467858077585,238752.0,0.14842509087269493,94795.0,0.05893126126389356,20766.0,0.012909610964776767,200597.0,0.12470525044309569,268695.0,0.16703977261777395,18451.0,0.011470443605465478,45157.0,0.028072777729770994,249791.0,0.15528771224610197,,,378071.0,0.23503561239834908,,,Trade_Transport_Utilities
01001,8517,539.0,0.06328519431724786,1218.0,0.14300810144417048,432.0,0.05072208524128214,27.0,0.0031701303275801338,1516.0,0.17799694728190676,1602.0,0.18809439943642128,178.0,0.02089937771515792,252.0,0.029587883057414582,616.0,0.07232593636256898,,,2137.0,0.25090994481624984,,,Trade_Transport_Utilities
01003,64337,4299.0,0.06682002580163825,10696.0,0.16624959199216624,3943.0,0.061286662418204144,434.0,0.006745729518006746,14403.0,0.22386806969550957,4186.0,0.06506364922206506,740.0,0.011501935122868645,2012.0,0.03127282900974556,6009.0,0.09339882182880768,,,17615.0,0.27379268539098806,,,Trade_Transport_Utilities
01005,6499,146.0,0.022464994614556085,808.0,0.12432681951069395,240.0,0.036928758270503154,15.0,0.002308047391906447,787.0,0.12109555316202493,2308.0,0.35513155870133867,274.0,0.04216033235882444,135.0,0.020772426527158026,403.0,0.06200953992921988,,,1383.0,0.21280196953377442,,,Manufacturing
01007,3555,917.0,0.2579465541490858,546.0,0.15358649789029535,95.0,0.026722925457102673,0.0,0.0,184.0,0.05175808720112517,592.0,0.16652601969057665,70.0,0.01969057665260197,0.0,0.0,134.0,0.03769338959212377,,,937.0,0.26357243319268636,,,Trade_Transport_Utilities
01009,6439,571.0,0.0886783662059326,987.0,0.15328467153284672,272.0,0.042242584252213077,55.0,0.008541699021587202,800.0,0.12424289485945023,1290.0,0.2003416679608635,76.0,0.011803075011647771,335.0,0.05202671222239478,439.0,0.0681782885541233,,,1614.0,0.25066004037894085,,,Trade_Transport_Utilities
01011,2347,0.0,0.0,521.0,0.221985513421389,52.0,0.022155943757988922,0.0,0.0,103.0,0.04388581167447806,0.0,0.0,263.0,0.11205794631444398,0.0,0.0,231.0,0.09842351938645079,,,318.0,0.13549211759693225,,,Educational_and_Health
01013,5916,203.0,0.03431372549019608,891.0,0.15060851926977686,178.0,0.03008789722785666,58.0,0.00980392156862745,785.0,0.13269100743745774,1372.0,0.2319134550371873,201.0,0.03397565922920893,93.0,0.015720081135902637,637.0,0.10767410412440838,,,1498.0,0.253211629479378,,,Trade_Transport_Utilities
01015,32186,995.0,0.030914062014540482,4383.0,0.13617721990927734,1287.0,0.039986329460013674,394.0,0.012241347169576835,4949.0,0.1537625054371466,6609.0,0.20533772447648047,233.0,0.007239172310942646,775.0,0.024078792021375754,3749.0,0.11647921456533897,,,8812.0,0.27378363263530725,,,Trade_Transport_Utilities
01017,6712,223.0,0.03322407628128725,891.0,0.13274731823599523,179.0,0.02666865315852205,48.0,0.007151370679380214,810.0,0.12067938021454112,2041.0,0.30408224076281287,198.0,0.029499404052443386,97.0,0.014451728247914183,576.0,0.08581644815256258,,,1649.0,0.2456793802145411,,,Manufacturing
01019,3796,66.0,0.01738672286617492,413.0,0.10879873551106428,145.0,0.038198103266596416,29.0,0.007639620653319284,433.0,0.11406743940990516,949.0,0.25,199.0,0.052423603793466805,76.0,0.020021074815595362,288.0,0.07586933614330875,,,1198.0,0.315595363540569,,,Trade_Transport_Utilities
01021,7574,593.0,0.0782941642461051,945.0,0.12476894639556377,263.0,0.034724055980987587,66.0,0.008714021653023502,900.0,0.11882756799577501,2072.0,0.2735674676524954,114.0,0.015051491946131503,294.0,0.038817005545286505,247.0,0.03261156588328492,,,2080.0,0.2746237127013467,,,Trade_Transport_Utilities
01023,2981,0.0,0.0,443.0,0.1486078497148608,92.0,0.030862126803086212,18.0,0.0060382422006038244,158.0,0.05300234820530023,0.0,0.0,236.0,0.07916806440791681,66.0,0.02214022140221402,127.0,0.042603153304260316,,,686.0,0.23012411942301242,,,Trade_Transport_Utilities
01025,6349,139.0,0.021893211529374703,1042.0,0.1641203339108521,350.0,0.05512679162072767,38.0,0.0059851945188218614,669.0,0.10537092455504804,1688.0,0.2658686407308237,310.0,0.04882658686407308,118.0,0.018585604032131043,252.0,0.03969128996692393,,,1743.0,0.2745314222712238,,,Trade_Transport_Utilities
01027,3401,41.0,0.012055277859453102,299.0,0.08791531902381652,103.0,0.030285210232284622,15.0,0.004410467509556013,102.0,0.02999117906498089,2304.0,0.6774478094678036,61.0,0.017935901205527786,36.0,0.010585122022934431,64.0,0.018817994707438987,,,376.0,0.11055571890620405,,,Manufacturing
01029,1349,260.0,0.1927353595255745,75.0,0.05559673832468495,59.0,0.04373610081541883,0.0,0.0,139.0,0.10303928836174944,280.0,0.20756115641215717,88.0,0.06523350630096368,50.0,0.037064492216456635,0.0,0.0,,,353.0,0.26167531504818387,,,Trade_Transport_Utilities
01031,13620,0.0,0.0,2095.0,0.1538179148311307,555.0,0.040748898678414094,84.0,0.006167400881057269,1771.0,0.13002936857562408,3670.0,0.26945668135095446,0.0,0.0,322.0,0.023641703377386195,1177.0,0.08641703377386196,,,2979.0,0.2187224669603524,,,Manufacturing
